customer_id,customer_name,registration_date,customer_name_kana,email,gender,age,birth,pref
C001,笠井 七世,2019-01-01 21:22:45,かさい ななせ,kasai_nanase@example.com,F,,1967/8/5,秋田県
C002,上杉 瞳,2019-01-05 04:36:22,うえすぎ ひとみ,uesugi_hitomi@example.com,F,30,1988/12/19,神奈川県
C003,小坂 沙知絵,2019-01-05 18:47:52,こざか さちえ,kozaka_sachie@example.com,F,64,1955/4/23,千葉県
C004,浅田 しほり,2019-01-06 13:46:48,あさだ しほり,asada_shihori@example.com,F,44,1975/1/7,東京都
C005,松岡 春樹,2019-01-06 19:11:43,まつおか はるき,matsuoka_haruki@example.com,F,69,1950/2/1,静岡県
C006,船橋 ジョージ,2019-01-08 18:54:41,ふなばし じょーじ,funabashi_george@example.com,M,30,1988/10/3,埼玉県
C007,池田 菜摘,2019-01-10 05:07:38,いけだ なつみ,ikeda_natsumi@example.com,F,47,1972/3/17,兵庫県
C008,堀内 六郎,2019-01-10 13:56:13,ほりうち ろくろう,horiuchi_rokurou@example.com,M,,1989/8/18,大分県
C009,岩村 鉄二,2019-01-11 01:48:25,いわむら てつじ,iwamura_tetsuji@example.com,M,70,1948/12/19,福岡県
C010,那須 未華子,2019-01-11 09:26:40,なす みかこ,nasu_mikako@example.com,F,51,1967/10/9,福島県
C011,岡田 りえ,2019-01-12 09:51:03,おかだ りえ,okada_rie@example.com,F,80,1939/3/12,東京都
C012,織田 薫,2019-01-12 14:20:03,おだ かおる,oda_kaoru@example.com,M,39,1980/1/8,新潟県
C013,玉城 理紗,2019-01-13 01:02:50,たまき りさ,tamaki_risa@example.com,F,23,1996/6/16,東京都
C014,阿部 ジローラモ,2019-01-13 15:23:35,あべ じろーらも,abe_girolamo@example.com,M,,1946/5/24,静岡県
C015,矢島 瞬,2019-01-14 22:36:47,やじま しゅん,yajima_shun@example.com,M,80,1939/4/10,岡山県
C016,邑野 みき,2019-01-15 03:32:30,むらの みき,murano_miki@example.com,F,52,1967/6/22,山形県
C017,船橋 惇,2019-01-15 04:07:50,ふなばし じゅん,funabashi_jun@example.com,M,56,1962/8/15,新潟県
C018,西村 綾,2019-01-15 05:19:46,にしむら あや,nishimura_aya@example.com,F,78,1941/4/26,神奈川県
C019,明石 咲,2019-01-15 05:22:29,あかし さき,akashi_saki@example.com,F,62,1957/2/5,長野県
C020,有馬 薫,2019-01-15 06:48:17,ありま かおる,arima_kaoru@example.com,F,70,1949/4/24,青森県
C021,児玉 勇介,2019-01-15 07:57:58,こだま ゆうすけ,kodama_yuusuke@example.com,M,55,1963/10/8,岩手県
C022,安倍 りえ,2019-01-15 07:58:10,あべ りえ,abe_rie@example.com,F,46,1972/10/10,東京都
C023,杉下 悟志,2019-01-15 08:20:17,すぎした さとし,sugishita_satoshi@example.com,M,79,1939/10/2,神奈川県
C024,平野 徹,2019-01-15 10:23:13,ひらの とおる,hirano_tooru@example.com,M,32,1987/1/1,沖縄県
C025,松沢 充則,2019-01-15 11:20:07,まつざわ みつのり,matsuzawa_mitsunori@example.com,M,25,1994/5/25,東京都
C026,沢田 未來,2019-01-15 11:35:17,さわだ みらい,sawada_mirai@example.com,M,53,1966/1/26,和歌山県
C027,石垣 洋介,2019-01-15 12:11:11,いしがき ようすけ,ishigaki_yousuke@example.com,M,22,1997/1/28,千葉県
C028,樋口 聡,2019-01-15 13:31:48,ひぐち さとし,higuchi_satoshi@example.com,M,66,1953/5/16,兵庫県
C029,尾上 咲,2019-01-15 13:44:12,おがみ さき,ogami_saki@example.com,F,37,1981/11/7,茨城県
C030,岡田 浩太郎,2019-01-15 14:47:04,おかだ こうたろう,okada_koutarou@example.com,M,80,1939/7/16,大阪府
